Epoch [403/10000] | D: -27.7349 | G: -310.1653
Epoch [404/10000] | D: -18.8992 | G: -255.7241
Epoch [405/10000] | D: -8.1755 | G: -221.9536
Epoch [406/10000] | D: -31.0209 | G: -174.5515
Epoch [407/10000] | D: -47.9384 | G: -372.4062
Epoch [408/10000] | D: -33.6127 | G: -308.5828
Epoch [409/10000] | D: -44.2461 | G: -253.4510
Epoch [410/10000] | D: -38.6764 | G: -303.2838
Epoch [411/10000] | D: -23.3437 | G: -254.8815
Epoch [412/10000] | D: -58.9849 | G: -143.6517
Epoch [413/10000] | D: -20.3492 | G: -436.7110
Epoch [414/10000] | D: -90.3372 | G: -311.2583
Epoch [415/10000] | D: -29.1164 | G: -321.7804
Epoch [416/10000] | D: -27.3830 | G: -316.6050
Epoch [417/10000] | D: -0.6120 | G: -207.5011
Epoch [418/10000] | D: -55.3162 | G: -472.9211
Epoch [419/10000] | D: -14.4595 | G: -399.6559
Epoch [420/10000] | D: -46.9855 | G: -325.7360
Epoch [421/10000] | D: -6.9786 | G: -360.4033
Epoch [422/10000] | D: -46.9210 | G: -334.2755
Epoch [423/10000] | D: -15.1471 | G: -337.0081
Epoch [424/10000] | D: -27.4902 | G: -321.6043
Epoch [425/10000] | D: -7.5507 | G: -326.9813
Epoch [426/10000] | D: -30.3151 | G: -199.7668
Epoch [427/10000] | D: -7.5082 | G: -232.7541
Epoch [428/10000] | D: -2.0838 | G: -310.5966
Epoch [429/10000] | D: -6.2945 | G: -481.8806
Epoch [430/10000] | D: -96.3190 | G: -195.8688
Epoch [431/10000] | D: 15.0965 | G: -285.8558
Epoch [432/10000] | D: -32.6645 | G: -366.4407
Epoch [433/10000] | D: -19.2070 | G: -300.3990
Epoch [434/10000] | D: -55.2990 | G: -98.5891
Epoch [435/10000] | D: -6.8400 | G: -240.5179
Epoch [436/10000] | D: -51.8305 | G: -350.9334
Epoch [437/10000] | D: -20.2028 | G: -308.4840
Epoch [438/10000] | D: -9.1883 | G: -316.0517
Epoch [439/10000] | D: -32.0103 | G: -131.2165
Epoch [440/10000] | D: -43.3832 | G: -418.9703
Epoch [441/10000] | D: -33.6994 | G: -22.7796
Epoch [442/10000] | D: 7.2751 | G: -254.3214
Epoch [443/10000] | D: -36.1012 | G: -214.0995
Epoch [444/10000] | D: -75.9466 | G: -356.3519
Epoch [445/10000] | D: -73.2302 | G: -324.7985
Epoch [446/10000] | D: -55.8756 | G: -172.4473
Epoch [447/10000] | D: -4.8542 | G: -370.8484
Epoch [448/10000] | D: -16.7302 | G: -215.6619
Epoch [449/10000] | D: -42.1994 | G: -133.7659
Epoch [450/10000] | D: -34.6051 | G: -209.5622
Epoch [451/10000] | D: -24.0197 | G: -323.8434
Epoch [452/10000] | D: -36.7578 | G: -129.3961
Epoch [453/10000] | D: -0.6584 | G: -297.5963
Epoch [454/10000] | D: -42.5675 | G: -327.0560
Epoch [455/10000] | D: -65.6917 | G: -208.9023
Epoch [456/10000] | D: -22.1683 | G: -153.6555
Epoch [457/10000] | D: -33.6535 | G: -325.9994
Epoch [458/10000] | D: -19.8419 | G: -311.8316
Epoch [459/10000] | D: -64.5691 | G: 37.7647
Epoch [460/10000] | D: -39.5904 | G: -179.4117
Epoch [461/10000] | D: -89.0668 | G: -234.2716
Epoch [462/10000] | D: -19.3090 | G: -88.8584
Epoch [463/10000] | D: 37.3843 | G: -280.1413
Epoch [464/10000] | D: 8.7829 | G: -184.5049
Epoch [465/10000] | D: -65.4977 | G: -270.6568
Epoch [466/10000] | D: -14.0278 | G: -361.5751
Epoch [467/10000] | D: -4.7845 | G: -347.0098
Epoch [468/10000] | D: -55.8556 | G: -520.2096
Epoch [469/10000] | D: -51.3104 | G: -290.8252
Epoch [470/10000] | D: -59.8863 | G: -157.0104
Epoch [471/10000] | D: -12.2970 | G: -242.1172
Epoch [472/10000] | D: -7.9269 | G: -83.6623
Epoch [473/10000] | D: -16.8243 | G: -133.0326
Epoch [474/10000] | D: 4.1908 | G: -209.7861
Epoch [475/10000] | D: -44.5038 | G: 16.6038
Epoch [476/10000] | D: -34.9158 | G: -299.0496
Epoch [477/10000] | D: -12.6415 | G: -73.9891
Epoch [478/10000] | D: -44.5794 | G: -230.0672
Epoch [479/10000] | D: 19.0135 | G: -239.6656
Epoch [480/10000] | D: -24.5769 | G: -264.7297
Epoch [481/10000] | D: -37.9823 | G: -254.7952
Epoch [482/10000] | D: -17.5710 | G: -179.2726
Epoch [483/10000] | D: -54.1529 | G: -306.8030
Epoch [484/10000] | D: -36.6851 | G: -179.4065
Epoch [485/10000] | D: -46.0095 | G: -16.7062
Epoch [486/10000] | D: -6.8999 | G: -282.5168
Epoch [487/10000] | D: -30.3133 | G: -315.8608
Epoch [488/10000] | D: -32.5059 | G: -234.2925
Epoch [489/10000] | D: -25.5414 | G: -256.3255
